CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH32,CH33,CH34,CH35,CH36
-48.570175773974,-10.0170928506151,-69.5633257743361,-73.1793622662406,-80.4840897009347,-19.2563071576586,-70.9900954168758,-101.460229656942,-88.6527369357242,-45.7844706569425,-74.7421926443717,-65.1269013058112,124.890058011227,24.9321633849994,-127.687412013978,60.6386486093649,478.627286542773,574.89454008111,-179.280701833024,-112.629259742396,-44.3241831364702,-42.4199097015254,-79.5449754671616,91.8891440139405,554.240861291068,367.610598086561,747.95910269765,-688.223563421703,166.346976213138,134.149393571155,514.28840485911,314.053238242032,-133.765263145318,-186.393484192764,246.640287697496,215.5153800074
-53.7243745897224,-10.4732525791734,-62.7309318527842,-76.2781501839754,-87.0469707362682,-26.0008862132486,-71.9356024054742,-104.195460986694,-96.6485788841874,-47.7420973460554,-80.5109705228791,-65.2729700951587,126.251021210967,22.385102703138,-135.867016028461,44.408267703527,554.352612789474,546.392322000382,-184.232460121055,-117.727810295866,-110.056144592695,-67.607587120745,-94.6632592931039,97.2144806075236,-115.284348039752,-170.389694576541,-149.906477366469,-1.75320710900137,161.688739152305,132.386900479192,617.61836945239,219.85568448711,-138.416595195386,-186.477242827839,209.171702754326,271.395941700085
-51.8020410738384,-10.6185096793077,-72.1958147045377,-65.9669979468728,-78.8631659255217,-31.3868159080087,-66.3763572219215,-101.53794905474,-93.8029719388853,-47.9665142712639,-78.7150228622289,-66.0895192250079,128.449240050021,26.2445264979442,-52.5644351980188,-110.003108570229,671.117415765135,346.034865395643,-185.166529644847,-107.291030979029,-34.9564056667154,-24.3143288342078,-97.5697918129205,110.843304578367,219.247609762653,720.397464745376,52.7868885527274,79.5922923216279,173.181459677779,133.070122533858,507.672445311501,257.551477149779,-127.442404573267,-188.210634133642,214.766403982474,261.326715873113
-48.0194117522948,-9.6970644937163,-63.9860825991198,-69.2079043400249,-85.5116415750602,-18.9111042258964,-64.0487332214188,-99.3310237899133,-91.5199495596723,-48.128923276661,-76.2904374273276,-67.5057677392236,134.143867952613,24.3084567356283,-152.408074384388,55.6994408483618,552.842229171922,526.251610739273,-182.383462892023,-118.31320097271,-25.2078882406839,-214.853423865236,-87.3564252575735,86.0741343697013,728.143816047067,-479.770405057692,265.658657710281,-468.098683417913,172.689940104854,131.995992775856,592.66929169632,227.589636531302,-127.888954902634,-188.222901905731,266.02621970098,207.603378256389
-50.3544117328768,-10.4188958432009,-48.5834729241876,-78.4008514962347,-90.9654449177704,-24.3769122887067,-67.8824441899036,-102.836107989619,-95.0573892792053,-48.757606179645,-80.5871205291101,-65.7100825419711,129.967692532709,25.1439155124165,-62.9241637639413,-64.5437450650158,520.178983757346,568.458360144532,-186.368648952923,-114.825094408585,-17.1241068089504,-169.859110732414,-110.798572869325,124.554127856564,-198.191138300058,798.180942223318,-1354.53693881246,2212.72394845199,168.097618300468,131.203910167017,606.350146972743,241.311826374103,-131.445616517098,-190.207583846069,261.666355225721,176.638454851779
-53.9259444414173,-10.7454173746723,-64.2103771356538,-73.8050886294767,-95.9475015816885,-24.292407873302,-71.0408100757873,-101.022788685645,-99.8744791241874,-48.5780367204874,-83.1229197273657,-67.6180394810726,123.800972422091,27.808679935405,-166.326527251008,-40.2307772727818,580.827259766827,443.525952751656,-192.116617285483,-114.273400606112,-80.3024158951062,-69.7899421881947,-113.587601471643,114.880409887044,-351.053578843682,362.9307426907,-943.730242203143,1267.95831027067,161.378799824901,131.291794510989,511.267417213399,251.216262844612,-140.655749281806,-188.99983673874,118.54334855587,295.239398764645
-58.4420738788797,-9.47516122960538,-82.5486261140161,-58.8255064236459,-96.6432286863165,-28.9109400590387,-75.1087236145801,-103.931610707197,-104.226746674353,-50.050908922129,-87.7507855849527,-66.5490352276292,122.301244689379,22.4045964335833,-186.76455432929,63.0117331148863,550.874630861168,516.017312054937,-194.09671034318,-112.608391226313,-309.39494503285,383.326217886281,-112.095053683161,118.778292425326,802.047280648628,-642.915879181579,69.324309547558,22.4610385701324,153.492635556792,129.172350038901,450.145731311796,298.030676788131,-145.91154818277,-191.674501220988,233.317159700248,143.946694289139
-60.8777116836973,-9.52405906532008,-72.6430350434775,-67.9078804198471,-93.0629749961202,-31.0772483247131,-69.5156678783757,-109.471475283282,-106.067397392645,-48.9695447889184,-87.7671954211395,-68.1261290928364,121.47349234168,23.4017980508469,-195.391737197506,136.426300939571,524.985206654484,570.424052526082,-191.880082714405,-117.303787245826,-260.673405698978,114.517526693167,-106.56477784229,105.064397990738,1189.4409597218,-365.029348309301,329.666170030293,-367.914525280623,163.184552153255,130.865740823891,475.246917301944,354.997415053904,-134.521194339323,-190.210920601004,274.121861108643,129.703268329925
-55.1576736034495,-9.03174376361442,-61.6502284257107,-75.46794476394,-103.424459896889,-14.3385403832578,-72.7888406962711,-97.7998850160024,-99.959345537713,-49.6221386302729,-84.3300577937251,-67.9351471109741,127.439620973877,21.0529958186766,-108.111866009171,-88.1750322542799,620.602738126944,414.142736169855,-190.316361018767,-116.639807268463,-53.0569124063545,-110.346201157369,-95.6940961193244,93.8230484365409,472.614597067454,-543.193369177917,238.351513426159,-392.874143682751,166.470496042191,130.590569983037,580.891291319495,323.248763150124,-132.799426612274,-190.195468533995,317.632679167818,140.764326008192
-55.202971133874,-9.54119553449832,-68.6528974871493,-70.7161207462815,-102.679185637803,-15.8209753880057,-77.127916998568,-95.4275330065164,-102.699089007108,-49.1123363461559,-85.6782907957229,-67.4341022211601,122.770600938516,27.1914123526641,-97.2853616210137,-72.8890468794652,598.313376245799,454.909891792928,-200.352741741833,-105.330523780617,-103.980965131398,-33.7966884899637,-133.078595082503,143.765491540106,633.443427624082,-312.744455122852,-632.94961843572,1056.27474538615,162.808348927739,129.97937690339,506.393450572632,234.351785979757,-137.081270956314,-190.644851066691,257.243710533957,136.664490206666
